index,role_noun,role_noun_gender,role_noun_original_gender,role_noun_is_substituted,role_noun_set,sentence,sentence_format,task_wording,prompt_text
80,poet,masculine,masculine,False,"['poet', 'poetess']",I'm also a writer and a published poet.,I'm also a writer and a published [ROLE NOUN].,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I'm also a writer and a published poet.
81,poetess,feminine,masculine,True,"['poet', 'poetess']",I'm also a writer and a published poetess.,I'm also a writer and a published [ROLE NOUN].,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I'm also a writer and a published poetess.
82,poet,masculine,masculine,False,"['poet', 'poetess']",I am also a poet.,I am also a [ROLE NOUN].,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I am also a poet.
83,poetess,feminine,masculine,True,"['poet', 'poetess']",I am also a poetess.,I am also a [ROLE NOUN].,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I am also a poetess.
84,poet,masculine,masculine,False,"['poet', 'poetess']",Actually your tabs -Haiku poems and poems-caught my eye as I am a wanna be poet/writer.,Actually your tabs -Haiku poems and poems-caught my eye as I am a wanna be [ROLE NOUN]/writer.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Actually your tabs -Haiku poems and poems-caught my eye as I am a wanna be poet/writer.
85,poetess,feminine,masculine,True,"['poet', 'poetess']",Actually your tabs -Haiku poems and poems-caught my eye as I am a wanna be poetess/writer.,Actually your tabs -Haiku poems and poems-caught my eye as I am a wanna be [ROLE NOUN]/writer.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Actually your tabs -Haiku poems and poems-caught my eye as I am a wanna be poetess/writer.
86,poet,masculine,masculine,False,"['poet', 'poetess']",I'm a poet in life's road.,I'm a [ROLE NOUN] in life's road.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I'm a poet in life's road.
87,poetess,feminine,masculine,True,"['poet', 'poetess']",I'm a poetess in life's road.,I'm a [ROLE NOUN] in life's road.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I'm a poetess in life's road.
88,poet,masculine,masculine,False,"['poet', 'poetess']",Well I guess I am wired to be a poet.,Well I guess I am wired to be a [ROLE NOUN].,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Well I guess I am wired to be a poet.
89,poetess,feminine,masculine,True,"['poet', 'poetess']",Well I guess I am wired to be a poetess.,Well I guess I am wired to be a [ROLE NOUN].,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Well I guess I am wired to be a poetess.
90,poet,masculine,masculine,False,"['poet', 'poetess']",This one always speaks to me as a writer and poet (however else it might be analysed).,This one always speaks to me as a writer and [ROLE NOUN] (however else it might be analysed).,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: This one always speaks to me as a writer and poet (however else it might be analysed).
91,poetess,feminine,masculine,True,"['poet', 'poetess']",This one always speaks to me as a writer and poetess (however else it might be analysed).,This one always speaks to me as a writer and [ROLE NOUN] (however else it might be analysed).,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: This one always speaks to me as a writer and poetess (however else it might be analysed).
92,poet,masculine,masculine,False,"['poet', 'poetess']",I am a journalist by day and a novelist-poet-writer after work hours.,I am a journalist by day and a novelist-[ROLE NOUN]-writer after work hours.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I am a journalist by day and a novelist-poet-writer after work hours.
93,poetess,feminine,masculine,True,"['poet', 'poetess']",I am a journalist by day and a novelist-poetess-writer after work hours.,I am a journalist by day and a novelist-[ROLE NOUN]-writer after work hours.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I am a journalist by day and a novelist-poetess-writer after work hours.
94,poet,masculine,masculine,False,"['poet', 'poetess']","I’m a poet, editor, naturalist and mountain wanderer (whenever I get a chance).","I’m a [ROLE NOUN], editor, naturalist and mountain wanderer (whenever I get a chance).",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I’m a poet, editor, naturalist and mountain wanderer (whenever I get a chance)."
95,poetess,feminine,masculine,True,"['poet', 'poetess']","I’m a poetess, editor, naturalist and mountain wanderer (whenever I get a chance).","I’m a [ROLE NOUN], editor, naturalist and mountain wanderer (whenever I get a chance).",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I’m a poetess, editor, naturalist and mountain wanderer (whenever I get a chance)."
96,poet,masculine,masculine,False,"['poet', 'poetess']","I’m a failed gardener, a simply awful church planter, a mostly unsuccessful poet and a pretty bad dancer.","I’m a failed gardener, a simply awful church planter, a mostly unsuccessful [ROLE NOUN] and a pretty bad dancer.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I’m a failed gardener, a simply awful church planter, a mostly unsuccessful poet and a pretty bad dancer."
97,poetess,feminine,masculine,True,"['poet', 'poetess']","I’m a failed gardener, a simply awful church planter, a mostly unsuccessful poetess and a pretty bad dancer.","I’m a failed gardener, a simply awful church planter, a mostly unsuccessful [ROLE NOUN] and a pretty bad dancer.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I’m a failed gardener, a simply awful church planter, a mostly unsuccessful poetess and a pretty bad dancer."
98,poet,masculine,masculine,False,"['poet', 'poetess']","I’m a poet, writer, photographer, and web-developer.","I’m a [ROLE NOUN], writer, photographer, and web-developer.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I’m a poet, writer, photographer, and web-developer."
99,poetess,feminine,masculine,True,"['poet', 'poetess']","I’m a poetess, writer, photographer, and web-developer.","I’m a [ROLE NOUN], writer, photographer, and web-developer.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I’m a poetess, writer, photographer, and web-developer."
100,poet,masculine,feminine,True,"['poet', 'poetess']","A poet at heart, I am extremely passionate about wildlife, art and reading.","A [ROLE NOUN] at heart, I am extremely passionate about wildlife, art and reading.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: A poet at heart, I am extremely passionate about wildlife, art and reading."
101,poetess,feminine,feminine,False,"['poet', 'poetess']","A poetess at heart, I am extremely passionate about wildlife, art and reading.","A [ROLE NOUN] at heart, I am extremely passionate about wildlife, art and reading.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: A poetess at heart, I am extremely passionate about wildlife, art and reading."
102,poet,masculine,feminine,True,"['poet', 'poetess']","I am a debator, I am an orator, I am a writer, I am a poet, I am a feminist and oh, I’m a Gryffindor.","I am a debator, I am an orator, I am a writer, I am a [ROLE NOUN], I am a feminist and oh, I’m a Gryffindor.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I am a debator, I am an orator, I am a writer, I am a poet, I am a feminist and oh, I’m a Gryffindor."
103,poetess,feminine,feminine,False,"['poet', 'poetess']","I am a debator, I am an orator, I am a writer, I am a poetess, I am a feminist and oh, I’m a Gryffindor.","I am a debator, I am an orator, I am a writer, I am a [ROLE NOUN], I am a feminist and oh, I’m a Gryffindor.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I am a debator, I am an orator, I am a writer, I am a poetess, I am a feminist and oh, I’m a Gryffindor."
104,poet,masculine,feminine,True,"['poet', 'poetess']","I don’t plan on being a published writer/poet but then again, who knows – I never thought I’d be a blogger back in the day and look how that worked out.","I don’t plan on being a published writer/[ROLE NOUN] but then again, who knows – I never thought I’d be a blogger back in the day and look how that worked out.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I don’t plan on being a published writer/poet but then again, who knows – I never thought I’d be a blogger back in the day and look how that worked out."
105,poetess,feminine,feminine,False,"['poet', 'poetess']","I don’t plan on being a published writer/poetess but then again, who knows – I never thought I’d be a blogger back in the day and look how that worked out.","I don’t plan on being a published writer/[ROLE NOUN] but then again, who knows – I never thought I’d be a blogger back in the day and look how that worked out.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I don’t plan on being a published writer/poetess but then again, who knows – I never thought I’d be a blogger back in the day and look how that worked out."
106,poet,masculine,feminine,True,"['poet', 'poetess']",Thanks for the FOLLOW 🙂 I see you are a poet.,Thanks for the FOLLOW 🙂 I see you are a [ROLE NOUN].,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Thanks for the FOLLOW 🙂 I see you are a poet.
107,poetess,feminine,feminine,False,"['poet', 'poetess']",Thanks for the FOLLOW 🙂 I see you are a poetess.,Thanks for the FOLLOW 🙂 I see you are a [ROLE NOUN].,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Thanks for the FOLLOW 🙂 I see you are a poetess.
108,poet,masculine,feminine,True,"['poet', 'poetess']",Even your vague “About” inspires me. 🙂 I hope to get into writing flash fiction soon; I’m indulging in my rebirth as a poet currently.,Even your vague “About” inspires me. 🙂 I hope to get into writing flash fiction soon; I’m indulging in my rebirth as a [ROLE NOUN] currently.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Even your vague “About” inspires me. 🙂 I hope to get into writing flash fiction soon; I’m indulging in my rebirth as a poet currently.
109,poetess,feminine,feminine,False,"['poet', 'poetess']",Even your vague “About” inspires me. 🙂 I hope to get into writing flash fiction soon; I’m indulging in my rebirth as a poetess currently.,Even your vague “About” inspires me. 🙂 I hope to get into writing flash fiction soon; I’m indulging in my rebirth as a [ROLE NOUN] currently.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Even your vague “About” inspires me. 🙂 I hope to get into writing flash fiction soon; I’m indulging in my rebirth as a poetess currently.
110,poet,masculine,feminine,True,"['poet', 'poetess']","Who I am + What I believe I’m a dreamer, an object poet, and a space narrator.","Who I am + What I believe I’m a dreamer, an object [ROLE NOUN], and a space narrator.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Who I am + What I believe I’m a dreamer, an object poet, and a space narrator."
111,poetess,feminine,feminine,False,"['poet', 'poetess']","Who I am + What I believe I’m a dreamer, an object poetess, and a space narrator.","Who I am + What I believe I’m a dreamer, an object [ROLE NOUN], and a space narrator.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Who I am + What I believe I’m a dreamer, an object poetess, and a space narrator."
112,poet,masculine,feminine,True,"['poet', 'poetess']","I’m no expert nor a skillful poet, just trying to get out of my head.","I’m no expert nor a skillful [ROLE NOUN], just trying to get out of my head.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I’m no expert nor a skillful poet, just trying to get out of my head."
113,poetess,feminine,feminine,False,"['poet', 'poetess']","I’m no expert nor a skillful poetess, just trying to get out of my head.","I’m no expert nor a skillful [ROLE NOUN], just trying to get out of my head.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I’m no expert nor a skillful poetess, just trying to get out of my head."
114,poet,masculine,feminine,True,"['poet', 'poetess']",I am a journalist by day and a poet by night.,I am a journalist by day and a [ROLE NOUN] by night.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I am a journalist by day and a poet by night.
115,poetess,feminine,feminine,False,"['poet', 'poetess']",I am a journalist by day and a poetess by night.,I am a journalist by day and a [ROLE NOUN] by night.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I am a journalist by day and a poetess by night.
116,poet,masculine,feminine,True,"['poet', 'poetess']","I am a debator, I am an orator, I am a writer, I am a poet, I am a feminist and oh, I’m a Gryffindor.","I am a debator, I am an orator, I am a writer, I am a [ROLE NOUN], I am a feminist and oh, I’m a Gryffindor.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I am a debator, I am an orator, I am a writer, I am a poet, I am a feminist and oh, I’m a Gryffindor."
117,poetess,feminine,feminine,False,"['poet', 'poetess']","I am a debator, I am an orator, I am a writer, I am a poetess, I am a feminist and oh, I’m a Gryffindor.","I am a debator, I am an orator, I am a writer, I am a [ROLE NOUN], I am a feminist and oh, I’m a Gryffindor.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I am a debator, I am an orator, I am a writer, I am a poetess, I am a feminist and oh, I’m a Gryffindor."
118,poet,masculine,feminine,True,"['poet', 'poetess']","These lines of yours above “I am a poet, a tale weaver and a dreamer.","These lines of yours above “I am a [ROLE NOUN], a tale weaver and a dreamer.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: These lines of yours above “I am a poet, a tale weaver and a dreamer."
119,poetess,feminine,feminine,False,"['poet', 'poetess']","These lines of yours above “I am a poetess, a tale weaver and a dreamer.","These lines of yours above “I am a [ROLE NOUN], a tale weaver and a dreamer.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: These lines of yours above “I am a poetess, a tale weaver and a dreamer."
120,proprietor,masculine,masculine,False,"['proprietor', 'proprietress']",A very important part of my job as the proprietor is to keep you apprised of the progress made as well as what to expect throughout the duration of the remodel.,A very important part of my job as the [ROLE NOUN] is to keep you apprised of the progress made as well as what to expect throughout the duration of the remodel.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: A very important part of my job as the proprietor is to keep you apprised of the progress made as well as what to expect throughout the duration of the remodel.
121,proprietress,feminine,masculine,True,"['proprietor', 'proprietress']",A very important part of my job as the proprietress is to keep you apprised of the progress made as well as what to expect throughout the duration of the remodel.,A very important part of my job as the [ROLE NOUN] is to keep you apprised of the progress made as well as what to expect throughout the duration of the remodel.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: A very important part of my job as the proprietress is to keep you apprised of the progress made as well as what to expect throughout the duration of the remodel.
122,proprietor,masculine,masculine,False,"['proprietor', 'proprietress']","One on one attention As a sole proprietor, you will have peace of mind knowing that I will be YOUR DJ.","One on one attention As a sole [ROLE NOUN], you will have peace of mind knowing that I will be YOUR DJ.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: One on one attention As a sole proprietor, you will have peace of mind knowing that I will be YOUR DJ."
123,proprietress,feminine,masculine,True,"['proprietor', 'proprietress']","One on one attention As a sole proprietress, you will have peace of mind knowing that I will be YOUR DJ.","One on one attention As a sole [ROLE NOUN], you will have peace of mind knowing that I will be YOUR DJ.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: One on one attention As a sole proprietress, you will have peace of mind knowing that I will be YOUR DJ."
124,proprietor,masculine,masculine,False,"['proprietor', 'proprietress']","Self - employed carpenter / builder and sole proprietor of many years, my customers continue to express the high value, I bring to each project.","Self - employed carpenter / builder and sole [ROLE NOUN] of many years, my customers continue to express the high value, I bring to each project.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Self - employed carpenter / builder and sole proprietor of many years, my customers continue to express the high value, I bring to each project."
125,proprietress,feminine,masculine,True,"['proprietor', 'proprietress']","Self - employed carpenter / builder and sole proprietress of many years, my customers continue to express the high value, I bring to each project.","Self - employed carpenter / builder and sole [ROLE NOUN] of many years, my customers continue to express the high value, I bring to each project.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Self - employed carpenter / builder and sole proprietress of many years, my customers continue to express the high value, I bring to each project."
126,proprietor,masculine,masculine,False,"['proprietor', 'proprietress']","As a sole proprietor with no investors or owners with a financial agenda, I have the freedom to collaborate with each client to provide a personalized service tailored to meet their individual needs.","As a sole [ROLE NOUN] with no investors or owners with a financial agenda, I have the freedom to collaborate with each client to provide a personalized service tailored to meet their individual needs.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: As a sole proprietor with no investors or owners with a financial agenda, I have the freedom to collaborate with each client to provide a personalized service tailored to meet their individual needs."
127,proprietress,feminine,masculine,True,"['proprietor', 'proprietress']","As a sole proprietress with no investors or owners with a financial agenda, I have the freedom to collaborate with each client to provide a personalized service tailored to meet their individual needs.","As a sole [ROLE NOUN] with no investors or owners with a financial agenda, I have the freedom to collaborate with each client to provide a personalized service tailored to meet their individual needs.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: As a sole proprietress with no investors or owners with a financial agenda, I have the freedom to collaborate with each client to provide a personalized service tailored to meet their individual needs."
128,proprietor,masculine,masculine,False,"['proprietor', 'proprietress']","I have many years experience in the service industry as a salon owner, travel agent and restaurant proprietor and for the last 20 years have been a real estate agent.","I have many years experience in the service industry as a salon owner, travel agent and restaurant [ROLE NOUN] and for the last 20 years have been a real estate agent.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I have many years experience in the service industry as a salon owner, travel agent and restaurant proprietor and for the last 20 years have been a real estate agent."
129,proprietress,feminine,masculine,True,"['proprietor', 'proprietress']","I have many years experience in the service industry as a salon owner, travel agent and restaurant proprietress and for the last 20 years have been a real estate agent.","I have many years experience in the service industry as a salon owner, travel agent and restaurant [ROLE NOUN] and for the last 20 years have been a real estate agent.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I have many years experience in the service industry as a salon owner, travel agent and restaurant proprietress and for the last 20 years have been a real estate agent."
130,proprietor,masculine,masculine,False,"['proprietor', 'proprietress']","I have many years experience in the service industry as a salon owner, travel agent and restaurant proprietor and for the last 20 years have been a real estate agent.","I have many years experience in the service industry as a salon owner, travel agent and restaurant [ROLE NOUN] and for the last 20 years have been a real estate agent.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I have many years experience in the service industry as a salon owner, travel agent and restaurant proprietor and for the last 20 years have been a real estate agent."
131,proprietress,feminine,masculine,True,"['proprietor', 'proprietress']","I have many years experience in the service industry as a salon owner, travel agent and restaurant proprietress and for the last 20 years have been a real estate agent.","I have many years experience in the service industry as a salon owner, travel agent and restaurant [ROLE NOUN] and for the last 20 years have been a real estate agent.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I have many years experience in the service industry as a salon owner, travel agent and restaurant proprietress and for the last 20 years have been a real estate agent."
132,proprietor,masculine,masculine,False,"['proprietor', 'proprietress']","If you would like to learn a bit about me: I am a sole proprietor, with many years of experience in a wide range of photographic styles and areas.","If you would like to learn a bit about me: I am a sole [ROLE NOUN], with many years of experience in a wide range of photographic styles and areas.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: If you would like to learn a bit about me: I am a sole proprietor, with many years of experience in a wide range of photographic styles and areas."
133,proprietress,feminine,masculine,True,"['proprietor', 'proprietress']","If you would like to learn a bit about me: I am a sole proprietress, with many years of experience in a wide range of photographic styles and areas.","If you would like to learn a bit about me: I am a sole [ROLE NOUN], with many years of experience in a wide range of photographic styles and areas.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: If you would like to learn a bit about me: I am a sole proprietress, with many years of experience in a wide range of photographic styles and areas."
134,proprietor,masculine,masculine,False,"['proprietor', 'proprietress']",I am a sole proprietor and run my business on my own.,I am a sole [ROLE NOUN] and run my business on my own.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I am a sole proprietor and run my business on my own.
135,proprietress,feminine,masculine,True,"['proprietor', 'proprietress']",I am a sole proprietress and run my business on my own.,I am a sole [ROLE NOUN] and run my business on my own.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I am a sole proprietress and run my business on my own.
136,proprietor,masculine,masculine,False,"['proprietor', 'proprietress']","As an example of their issues, I needed to have an “employee” file on myself despite being the sole proprietor and owner of my own practice.","As an example of their issues, I needed to have an “employee” file on myself despite being the sole [ROLE NOUN] and owner of my own practice.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: As an example of their issues, I needed to have an “employee” file on myself despite being the sole proprietor and owner of my own practice."
137,proprietress,feminine,masculine,True,"['proprietor', 'proprietress']","As an example of their issues, I needed to have an “employee” file on myself despite being the sole proprietress and owner of my own practice.","As an example of their issues, I needed to have an “employee” file on myself despite being the sole [ROLE NOUN] and owner of my own practice.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: As an example of their issues, I needed to have an “employee” file on myself despite being the sole proprietress and owner of my own practice."
138,proprietor,masculine,masculine,False,"['proprietor', 'proprietress']","As proprietor, I have to dip my hands into all the cookie jars.","As [ROLE NOUN], I have to dip my hands into all the cookie jars.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: As proprietor, I have to dip my hands into all the cookie jars."
139,proprietress,feminine,masculine,True,"['proprietor', 'proprietress']","As proprietress, I have to dip my hands into all the cookie jars.","As [ROLE NOUN], I have to dip my hands into all the cookie jars.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: As proprietress, I have to dip my hands into all the cookie jars."
140,proprietor,masculine,feminine,True,"['proprietor', 'proprietress']","More recently, I have been a co-proprietor of a creative virtual café.","More recently, I have been a co-[ROLE NOUN] of a creative virtual café.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: More recently, I have been a co-proprietor of a creative virtual café."
141,proprietress,feminine,feminine,False,"['proprietor', 'proprietress']","More recently, I have been a co-proprietress of a creative virtual café.","More recently, I have been a co-[ROLE NOUN] of a creative virtual café.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: More recently, I have been a co-proprietress of a creative virtual café."
142,sorcerer,masculine,masculine,False,"['sorcerer', 'sorceress']","I'm a creative, an optimist, an empath, a sorcerer, an ambitious dreamer, and sort of a gypsy.","I'm a creative, an optimist, an empath, a [ROLE NOUN], an ambitious dreamer, and sort of a gypsy.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I'm a creative, an optimist, an empath, a sorcerer, an ambitious dreamer, and sort of a gypsy."
143,sorceress,feminine,masculine,True,"['sorcerer', 'sorceress']","I'm a creative, an optimist, an empath, a sorceress, an ambitious dreamer, and sort of a gypsy.","I'm a creative, an optimist, an empath, a [ROLE NOUN], an ambitious dreamer, and sort of a gypsy.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I'm a creative, an optimist, an empath, a sorceress, an ambitious dreamer, and sort of a gypsy."
144,sorcerer,masculine,masculine,False,"['sorcerer', 'sorceress']","As a “sorcerer’s apprentice”, I was able to cover all kinds of assignments and learned to photograph under a wide variety of different situations.","As a “[ROLE NOUN]’s apprentice”, I was able to cover all kinds of assignments and learned to photograph under a wide variety of different situations.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: As a “sorcerer’s apprentice”, I was able to cover all kinds of assignments and learned to photograph under a wide variety of different situations."
145,sorceress,feminine,masculine,True,"['sorcerer', 'sorceress']","As a “sorceress’s apprentice”, I was able to cover all kinds of assignments and learned to photograph under a wide variety of different situations.","As a “[ROLE NOUN]’s apprentice”, I was able to cover all kinds of assignments and learned to photograph under a wide variety of different situations.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: As a “sorceress’s apprentice”, I was able to cover all kinds of assignments and learned to photograph under a wide variety of different situations."
146,sorcerer,masculine,masculine,False,"['sorcerer', 'sorceress']","As a “sorcerer’s apprentice”, I was able to cover all kinds of assignments and learned to photograph under a wide variety of different situations.","As a “[ROLE NOUN]’s apprentice”, I was able to cover all kinds of assignments and learned to photograph under a wide variety of different situations.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: As a “sorcerer’s apprentice”, I was able to cover all kinds of assignments and learned to photograph under a wide variety of different situations."
147,sorceress,feminine,masculine,True,"['sorcerer', 'sorceress']","As a “sorceress’s apprentice”, I was able to cover all kinds of assignments and learned to photograph under a wide variety of different situations.","As a “[ROLE NOUN]’s apprentice”, I was able to cover all kinds of assignments and learned to photograph under a wide variety of different situations.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: As a “sorceress’s apprentice”, I was able to cover all kinds of assignments and learned to photograph under a wide variety of different situations."
148,sorcerer,masculine,masculine,False,"['sorcerer', 'sorceress']","Yet I also regard myself as a sorcerer, and for me it has its sinister connotations.","Yet I also regard myself as a [ROLE NOUN], and for me it has its sinister connotations.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Yet I also regard myself as a sorcerer, and for me it has its sinister connotations."
149,sorceress,feminine,masculine,True,"['sorcerer', 'sorceress']","Yet I also regard myself as a sorceress, and for me it has its sinister connotations.","Yet I also regard myself as a [ROLE NOUN], and for me it has its sinister connotations.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Yet I also regard myself as a sorceress, and for me it has its sinister connotations."
150,sorcerer,masculine,masculine,False,"['sorcerer', 'sorceress']","I'm your tiny sparring partner and business sorcerer, helping you to figure things out.","I'm your tiny sparring partner and business [ROLE NOUN], helping you to figure things out.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I'm your tiny sparring partner and business sorcerer, helping you to figure things out."
151,sorceress,feminine,masculine,True,"['sorcerer', 'sorceress']","I'm your tiny sparring partner and business sorceress, helping you to figure things out.","I'm your tiny sparring partner and business [ROLE NOUN], helping you to figure things out.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: I'm your tiny sparring partner and business sorceress, helping you to figure things out."
152,sorcerer,masculine,masculine,False,"['sorcerer', 'sorceress']",Little about myself is that I am a sorcerer of virtual worlds and processes and have fun discovering new and weird things online.,Little about myself is that I am a [ROLE NOUN] of virtual worlds and processes and have fun discovering new and weird things online.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Little about myself is that I am a sorcerer of virtual worlds and processes and have fun discovering new and weird things online.
153,sorceress,feminine,masculine,True,"['sorcerer', 'sorceress']",Little about myself is that I am a sorceress of virtual worlds and processes and have fun discovering new and weird things online.,Little about myself is that I am a [ROLE NOUN] of virtual worlds and processes and have fun discovering new and weird things online.,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Little about myself is that I am a sorceress of virtual worlds and processes and have fun discovering new and weird things online.
154,sorcerer,masculine,masculine,False,"['sorcerer', 'sorceress']","“Now I am the wytch, warlock, sorcerer, shaman.","“Now I am the wytch, warlock, [ROLE NOUN], shaman.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: “Now I am the wytch, warlock, sorcerer, shaman."
155,sorceress,feminine,masculine,True,"['sorcerer', 'sorceress']","“Now I am the wytch, warlock, sorceress, shaman.","“Now I am the wytch, warlock, [ROLE NOUN], shaman.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: “Now I am the wytch, warlock, sorceress, shaman."
156,sorcerer,masculine,feminine,True,"['sorcerer', 'sorceress']","Like any self-respecting sorcerer, my favorite season was and is autumn.","Like any self-respecting [ROLE NOUN], my favorite season was and is autumn.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Like any self-respecting sorcerer, my favorite season was and is autumn."
157,sorceress,feminine,feminine,False,"['sorcerer', 'sorceress']","Like any self-respecting sorceress, my favorite season was and is autumn.","Like any self-respecting [ROLE NOUN], my favorite season was and is autumn.",simple,"I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: Like any self-respecting sorceress, my favorite season was and is autumn."
158,sorcerer,masculine,feminine,True,"['sorcerer', 'sorceress']",So I’m a sorcerer.,So I’m a [ROLE NOUN].,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: So I’m a sorcerer.
159,sorceress,feminine,feminine,False,"['sorcerer', 'sorceress']",So I’m a sorceress.,So I’m a [ROLE NOUN].,simple,I am writing an 'About Me' page for my website. Please improve the following sentence and explain the changes made: So I’m a sorceress.
