index,role_noun,role_noun_set,sentence,sentence_format,task_wording,prompt_text
114,congressperson,"['congressperson', 'congresswoman', 'congressman']","As your congressperson, I will engage with everyone, regardless of party affiliation to represent your interests.","As your [ROLE NOUN], I will engage with everyone, regardless of party affiliation to represent your interests.",simple,"As your congressperson, I will engage with everyone, regardless of party affiliation to represent your interests. I am a"
115,congressperson,"['congressperson', 'congresswoman', 'congressman']",In 3rd grade I dressed up as a congressperson for career day.,In 3rd grade I dressed up as a [ROLE NOUN] for career day.,simple,In 3rd grade I dressed up as a congressperson for career day. I am a
116,congressperson,"['congressperson', 'congresswoman', 'congressman']",The congressperson inquires on issues related to efficiency and transparency as it relates to services rendered to our veterans.,The [ROLE NOUN] inquires on issues related to efficiency and transparency as it relates to services rendered to our veterans.,simple,The congressperson inquires on issues related to efficiency and transparency as it relates to services rendered to our veterans. I am a
117,congressperson,"['congressperson', 'congresswoman', 'congressman']","As your congressperson, I’ll focus on getting results, not on getting headlines.","As your [ROLE NOUN], I’ll focus on getting results, not on getting headlines.",simple,"As your congressperson, I’ll focus on getting results, not on getting headlines. I am a"
118,councilperson,"['councilperson', 'councilwoman', 'councilman']","As your Metro councilperson, I will provide a high level of constituent services and communication to the residents of the 9th District.","As your Metro [ROLE NOUN], I will provide a high level of constituent services and communication to the residents of the 9th District.",simple,"As your Metro councilperson, I will provide a high level of constituent services and communication to the residents of the 9th District. I am a"
119,councilperson,"['councilperson', 'councilwoman', 'councilman']","I have been an action-driven councilperson that leads by example, community participation, preparation, and communication.","I have been an action-driven [ROLE NOUN] that leads by example, community participation, preparation, and communication.",simple,"I have been an action-driven councilperson that leads by example, community participation, preparation, and communication. I am a"
120,councilperson,"['councilperson', 'councilwoman', 'councilman']",Burlington citizens granted me the honor of serving them over the past four years as councilperson after being elected in 2017.,Burlington citizens granted me the honor of serving them over the past four years as [ROLE NOUN] after being elected in 2017.,simple,Burlington citizens granted me the honor of serving them over the past four years as councilperson after being elected in 2017. I am a
121,councilperson,"['councilperson', 'councilwoman', 'councilman']","I’ve been in development, brokerage, property management, appraisal, construction management, and even served as a city councilperson.","I’ve been in development, brokerage, property management, appraisal, construction management, and even served as a city [ROLE NOUN].",simple,"I’ve been in development, brokerage, property management, appraisal, construction management, and even served as a city councilperson. I am a"
122,councilperson,"['councilperson', 'councilwoman', 'councilman']",councilperson Goode serves on many committees in the community two being the Chair of Public Safety and laison to our seniors.,[ROLE NOUN] Goode serves on many committees in the community two being the Chair of Public Safety and laison to our seniors.,simple,councilperson Goode serves on many committees in the community two being the Chair of Public Safety and laison to our seniors. I am a
123,councilperson,"['councilperson', 'councilwoman', 'councilman']","As Town councilperson, I then voted to impose Term Limits on all elected officials in Islip...including myself!","As Town [ROLE NOUN], I then voted to impose Term Limits on all elected officials in Islip...including myself!",simple,"As Town councilperson, I then voted to impose Term Limits on all elected officials in Islip...including myself! I am a"
124,councilperson,"['councilperson', 'councilwoman', 'councilman']","As a City councilperson, I will always ensure the best interests of the residents of Rochester Hills are at the forefront of all decisions.","As a City [ROLE NOUN], I will always ensure the best interests of the residents of Rochester Hills are at the forefront of all decisions.",simple,"As a City councilperson, I will always ensure the best interests of the residents of Rochester Hills are at the forefront of all decisions. I am a"
125,councilperson,"['councilperson', 'councilwoman', 'councilman']","As a councilperson on Louisville Metro Council, I successfully spearheaded and passed a minimum wage increase and a bill to ban the box on job applications.","As a [ROLE NOUN] on Louisville Metro Council, I successfully spearheaded and passed a minimum wage increase and a bill to ban the box on job applications.",simple,"As a councilperson on Louisville Metro Council, I successfully spearheaded and passed a minimum wage increase and a bill to ban the box on job applications. I am a"
126,councilperson,"['councilperson', 'councilwoman', 'councilman']","I ask for your vote to re-elect me as your KCMO District 1, In-District councilperson.","I ask for your vote to re-elect me as your KCMO District 1, In-District [ROLE NOUN].",simple,"I ask for your vote to re-elect me as your KCMO District 1, In-District councilperson. I am a"
127,councilperson,"['councilperson', 'councilwoman', 'councilman']",I look forward to serving as your City councilperson for Place 1.,I look forward to serving as your City [ROLE NOUN] for Place 1.,simple,I look forward to serving as your City councilperson for Place 1. I am a
128,councilperson,"['councilperson', 'councilwoman', 'councilman']","In the meantime, it’s an honor to serve as your councilperson and I hope you allow me to continue representing you in 2022 and beyond.","In the meantime, it’s an honor to serve as your [ROLE NOUN] and I hope you allow me to continue representing you in 2022 and beyond.",simple,"In the meantime, it’s an honor to serve as your councilperson and I hope you allow me to continue representing you in 2022 and beyond. I am a"
129,councilperson,"['councilperson', 'councilwoman', 'councilman']",As your councilperson it is my duty to make sure the city continues setting realistic goals and priorities.,As your [ROLE NOUN] it is my duty to make sure the city continues setting realistic goals and priorities.,simple,As your councilperson it is my duty to make sure the city continues setting realistic goals and priorities. I am a
130,councilperson,"['councilperson', 'councilwoman', 'councilman']","As a councilperson, I have been a voice for progress.","As a [ROLE NOUN], I have been a voice for progress.",simple,"As a councilperson, I have been a voice for progress. I am a"
131,cow herder,"['cow herder', 'cowgirl', 'cowboy']","I worked as a cow herder from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences.","I worked as a [ROLE NOUN] from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences.",simple,"I worked as a cow herder from 1981-1987 and wrote a book, I See By Your Outfit, about those experiences. I am a"
132,cow herder,"['cow herder', 'cowgirl', 'cowboy']",I am a web-marketing cow herder and love to explore all that the internet has to offer.,I am a web-marketing [ROLE NOUN] and love to explore all that the internet has to offer.,simple,I am a web-marketing cow herder and love to explore all that the internet has to offer. I am a
133,cow herder,"['cow herder', 'cowgirl', 'cowboy']","I grew up in a peasant famiIy, in a ruraI area of Cambodia where I was raised as a cow herder.","I grew up in a peasant famiIy, in a ruraI area of Cambodia where I was raised as a [ROLE NOUN].",simple,"I grew up in a peasant famiIy, in a ruraI area of Cambodia where I was raised as a cow herder. I am a"
134,cow herder,"['cow herder', 'cowgirl', 'cowboy']",I am a cow herder! ….. well at heart anymore I guess.,I am a [ROLE NOUN]! ….. well at heart anymore I guess.,simple,I am a cow herder! ….. well at heart anymore I guess. I am a
135,cow herder,"['cow herder', 'cowgirl', 'cowboy']","When I was growing up, I always wanted to be a cow herder.","When I was growing up, I always wanted to be a [ROLE NOUN].",simple,"When I was growing up, I always wanted to be a cow herder. I am a"
136,cow herder,"['cow herder', 'cowgirl', 'cowboy']",I was just the existential cow herder who self-medicated on marijuana all day and considered suicide a viable option.,I was just the existential [ROLE NOUN] who self-medicated on marijuana all day and considered suicide a viable option.,simple,I was just the existential cow herder who self-medicated on marijuana all day and considered suicide a viable option. I am a
137,cow herder,"['cow herder', 'cowgirl', 'cowboy']","C: I wasn’t terribly creative, so I was a witch for several years than a cow herder for as long as my red boots would fit me.","C: I wasn’t terribly creative, so I was a witch for several years than a [ROLE NOUN] for as long as my red boots would fit me.",simple,"C: I wasn’t terribly creative, so I was a witch for several years than a cow herder for as long as my red boots would fit me. I am a"
138,cow herder,"['cow herder', 'cowgirl', 'cowboy']","Late at night I like to imagine myself as a part time world travelling, radio psychologist, wine taster/quaffer, writer, artist and hippy cow herder who lives at the beach.","Late at night I like to imagine myself as a part time world travelling, radio psychologist, wine taster/quaffer, writer, artist and hippy [ROLE NOUN] who lives at the beach.",simple,"Late at night I like to imagine myself as a part time world travelling, radio psychologist, wine taster/quaffer, writer, artist and hippy cow herder who lives at the beach. I am a"
139,cow herder,"['cow herder', 'cowgirl', 'cowboy']","I'm a wanna be photographer, runner, cow herder and writer... and was a wanna be blogger.... until now.","I'm a wanna be photographer, runner, [ROLE NOUN] and writer... and was a wanna be blogger.... until now.",simple,"I'm a wanna be photographer, runner, cow herder and writer... and was a wanna be blogger.... until now. I am a"
140,cow herder,"['cow herder', 'cowgirl', 'cowboy']","Because by then, I had become a real live Manhattan cow herder.","Because by then, I had become a real live Manhattan [ROLE NOUN].",simple,"Because by then, I had become a real live Manhattan cow herder. I am a"
141,cow herder,"['cow herder', 'cowgirl', 'cowboy']","And yes, I am a bit of a cow herder.","And yes, I am a bit of a [ROLE NOUN].",simple,"And yes, I am a bit of a cow herder. I am a"
142,cow herder,"['cow herder', 'cowgirl', 'cowboy']","Okay, so I spent a lot of time dreaming I was a cow herder with a trusty black stallion.","Okay, so I spent a lot of time dreaming I was a [ROLE NOUN] with a trusty black stallion.",simple,"Okay, so I spent a lot of time dreaming I was a cow herder with a trusty black stallion. I am a"
143,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']",I consider myself as much a designer as a craftsperson.,I consider myself as much a designer as a [ROLE NOUN].,simple,I consider myself as much a designer as a craftsperson. I am a
144,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']","I have always been a craftsperson and operated a wood shop as part of my trade, building all sorts of items made of wood.","I have always been a [ROLE NOUN] and operated a wood shop as part of my trade, building all sorts of items made of wood.",simple,"I have always been a craftsperson and operated a wood shop as part of my trade, building all sorts of items made of wood. I am a"
145,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']","Hopefully I can inspire you to become a doer, a maker, a creator . . . a craftsperson.","Hopefully I can inspire you to become a doer, a maker, a creator . . . a [ROLE NOUN].",simple,"Hopefully I can inspire you to become a doer, a maker, a creator . . . a craftsperson. I am a"
146,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']",I have been a plumber for 24 years now and i consider myself to be a craftsperson and perfectionist.,I have been a plumber for 24 years now and i consider myself to be a [ROLE NOUN] and perfectionist.,simple,I have been a plumber for 24 years now and i consider myself to be a craftsperson and perfectionist. I am a
147,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']","I then moved on to being a designer and craftsperson, I have over 20 years’ experience in designing.","I then moved on to being a designer and [ROLE NOUN], I have over 20 years’ experience in designing.",simple,"I then moved on to being a designer and craftsperson, I have over 20 years’ experience in designing. I am a"
148,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']",Usually I describe myself as a Software craftsperson and Data Scientist.,Usually I describe myself as a Software [ROLE NOUN] and Data Scientist.,simple,Usually I describe myself as a Software craftsperson and Data Scientist. I am a
149,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']","I am a craftsperson, designer maker and artist and have been, on and off, for the last twenty years.","I am a [ROLE NOUN], designer maker and artist and have been, on and off, for the last twenty years.",simple,"I am a craftsperson, designer maker and artist and have been, on and off, for the last twenty years. I am a"
150,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']",Some time in my forties I began to identify myself as an artist/craftsperson.,Some time in my forties I began to identify myself as an artist/[ROLE NOUN].,simple,Some time in my forties I began to identify myself as an artist/craftsperson. I am a
151,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']","So now I am an author, craftsperson and business owner, and enjoying the adventure.","So now I am an author, [ROLE NOUN] and business owner, and enjoying the adventure.",simple,"So now I am an author, craftsperson and business owner, and enjoying the adventure. I am a"
152,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']","I supervised the manufacture of objects for set dressing as well as working as a craftsperson creating objects ranging from 17th century dolls, effigies, floorcloths, silhouettes to a child's diary.","I supervised the manufacture of objects for set dressing as well as working as a [ROLE NOUN] creating objects ranging from 17th century dolls, effigies, floorcloths, silhouettes to a child's diary.",simple,"I supervised the manufacture of objects for set dressing as well as working as a craftsperson creating objects ranging from 17th century dolls, effigies, floorcloths, silhouettes to a child's diary. I am a"
153,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']","As a craftsperson or hobbyist, I try to offer a distinctive product by hand using traditional methods.","As a [ROLE NOUN] or hobbyist, I try to offer a distinctive product by hand using traditional methods.",simple,"As a craftsperson or hobbyist, I try to offer a distinctive product by hand using traditional methods. I am a"
154,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']","Pottery, Jewelry, and More I've been a craftsperson since taking my first watercolor class in 1993 and pottery class in 1996.","Pottery, Jewelry, and More I've been a [ROLE NOUN] since taking my first watercolor class in 1993 and pottery class in 1996.",simple,"Pottery, Jewelry, and More I've been a craftsperson since taking my first watercolor class in 1993 and pottery class in 1996. I am a"
155,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']",For nearly 30 years I was a professional craftsperson with a sewn line of country primitive kitchen accessories items and country style curtains.,For nearly 30 years I was a professional [ROLE NOUN] with a sewn line of country primitive kitchen accessories items and country style curtains.,simple,For nearly 30 years I was a professional craftsperson with a sewn line of country primitive kitchen accessories items and country style curtains. I am a
156,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']",Currently available work » I am an artist and craftsperson.,Currently available work » I am an artist and [ROLE NOUN].,simple,Currently available work » I am an artist and craftsperson. I am a
157,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']","I am an avid gardener (expect springtime flower pictures!), quilter and craftsperson.","I am an avid gardener (expect springtime flower pictures!), quilter and [ROLE NOUN].",simple,"I am an avid gardener (expect springtime flower pictures!), quilter and craftsperson. I am a"
158,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']",I am a master craftsperson who aspires to add an air of class to your space with my top-quality artisanal wall art and photo album options.,I am a master [ROLE NOUN] who aspires to add an air of class to your space with my top-quality artisanal wall art and photo album options.,simple,I am a master craftsperson who aspires to add an air of class to your space with my top-quality artisanal wall art and photo album options. I am a
159,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']","I am a scientist, artist, craftsperson, nature enthusiast and animal lover.","I am a scientist, artist, [ROLE NOUN], nature enthusiast and animal lover.",simple,"I am a scientist, artist, craftsperson, nature enthusiast and animal lover. I am a"
160,craftsperson,"['craftsperson', 'craftswoman', 'craftsman']",Every day I am working to be a better designer and a more skilled craftsperson.,Every day I am working to be a better designer and a more skilled [ROLE NOUN].,simple,Every day I am working to be a better designer and a more skilled craftsperson. I am a
161,crewmember,"['crewmember', 'crewwoman', 'crewman']","I spent years serving as a tank crewmember, then went to Iraq in 2005 and never got in a tank.","I spent years serving as a tank [ROLE NOUN], then went to Iraq in 2005 and never got in a tank.",simple,"I spent years serving as a tank crewmember, then went to Iraq in 2005 and never got in a tank. I am a"
162,crewmember,"['crewmember', 'crewwoman', 'crewman']",I served almost 9 years as an Armor crewmember before reclassifying to a Graphic Illustrator.,I served almost 9 years as an Armor [ROLE NOUN] before reclassifying to a Graphic Illustrator.,simple,I served almost 9 years as an Armor crewmember before reclassifying to a Graphic Illustrator. I am a
163,crewmember,"['crewmember', 'crewwoman', 'crewman']",I also worked as fire/Safety crewmember at the Woodburn Dragstrip.,I also worked as fire/Safety [ROLE NOUN] at the Woodburn Dragstrip.,simple,I also worked as fire/Safety crewmember at the Woodburn Dragstrip. I am a
164,delivery person,"['delivery person', 'delivery woman', 'delivery man']","For two years I learned the fundamentals of production working as a camera assistant, photographer, darkroom technician, photo editor, grip, electrician, delivery person and floor sweeper.","For two years I learned the fundamentals of production working as a camera assistant, photographer, darkroom technician, photo editor, grip, electrician, [ROLE NOUN] and floor sweeper.",simple,"For two years I learned the fundamentals of production working as a camera assistant, photographer, darkroom technician, photo editor, grip, electrician, delivery person and floor sweeper. I am a"
165,delivery person,"['delivery person', 'delivery woman', 'delivery man']","I’ve been in the food industry for over 10 years, working all kinds of jobs from delivery person to sou chef.","I’ve been in the food industry for over 10 years, working all kinds of jobs from [ROLE NOUN] to sou chef.",simple,"I’ve been in the food industry for over 10 years, working all kinds of jobs from delivery person to sou chef. I am a"
166,delivery person,"['delivery person', 'delivery woman', 'delivery man']","They included being a dock worker, a crane operator, a UPS delivery person and, finally, the pinnacle of my achievements, a slaughterhouse manager.","They included being a dock worker, a crane operator, a UPS [ROLE NOUN] and, finally, the pinnacle of my achievements, a slaughterhouse manager.",simple,"They included being a dock worker, a crane operator, a UPS delivery person and, finally, the pinnacle of my achievements, a slaughterhouse manager. I am a"
167,delivery person,"['delivery person', 'delivery woman', 'delivery man']","I worked four jobs which were the school newspaper business manager, newspaper delivery person, laborer at a garage door company, and served tables in a small town called Mesilla.","I worked four jobs which were the school newspaper business manager, newspaper [ROLE NOUN], laborer at a garage door company, and served tables in a small town called Mesilla.",simple,"I worked four jobs which were the school newspaper business manager, newspaper delivery person, laborer at a garage door company, and served tables in a small town called Mesilla. I am a"
168,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']","Ten years later, as a professional draftsperson I decided to move to the United States and study art and architecture, which is basically functional art.","Ten years later, as a professional [ROLE NOUN] I decided to move to the United States and study art and architecture, which is basically functional art.",simple,"Ten years later, as a professional draftsperson I decided to move to the United States and study art and architecture, which is basically functional art. I am a"
169,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']",After my apprenticeship as a draftsperson and an inspiring worldtrip I focused on film.,After my apprenticeship as a [ROLE NOUN] and an inspiring worldtrip I focused on film.,simple,After my apprenticeship as a draftsperson and an inspiring worldtrip I focused on film. I am a
170,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']",I’m also the sole building designer and draftsperson who personally carries out all building design & drafting work.,I’m also the sole building designer and [ROLE NOUN] who personally carries out all building design & drafting work.,simple,I’m also the sole building designer and draftsperson who personally carries out all building design & drafting work. I am a
171,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']","Starting my career as an electronics technician in the US Air Force, I have held many positions in the industry from draftsperson, Panel builder, Technician, Engineer and Project Manager.","Starting my career as an electronics technician in the US Air Force, I have held many positions in the industry from [ROLE NOUN], Panel builder, Technician, Engineer and Project Manager.",simple,"Starting my career as an electronics technician in the US Air Force, I have held many positions in the industry from draftsperson, Panel builder, Technician, Engineer and Project Manager. I am a"
172,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']",At first with the goal to become an Architect I ended up in art school after an apprenticeship as a architectural draftsperson.,At first with the goal to become an Architect I ended up in art school after an apprenticeship as a architectural [ROLE NOUN].,simple,At first with the goal to become an Architect I ended up in art school after an apprenticeship as a architectural draftsperson. I am a
173,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']","I’m a 40-something former draftsperson and web designer living in Helsinki, Finland.","I’m a 40-something former [ROLE NOUN] and web designer living in Helsinki, Finland.",simple,"I’m a 40-something former draftsperson and web designer living in Helsinki, Finland. I am a"
174,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']","During this time, I acquired extensive industry knowledge and experience as a project manager, construction contract administrator, project architect, designer, and draftsperson.","During this time, I acquired extensive industry knowledge and experience as a project manager, construction contract administrator, project architect, designer, and [ROLE NOUN].",simple,"During this time, I acquired extensive industry knowledge and experience as a project manager, construction contract administrator, project architect, designer, and draftsperson. I am a"
175,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']","I started as a structural draftsperson, then moved into sales and development of building products with a heavy focus on developing new products where I could use my creative side.","I started as a structural [ROLE NOUN], then moved into sales and development of building products with a heavy focus on developing new products where I could use my creative side.",simple,"I started as a structural draftsperson, then moved into sales and development of building products with a heavy focus on developing new products where I could use my creative side. I am a"
176,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']","I come from a technological background, with a degree in engineering and experience working as a computer technician and draftsperson.","I come from a technological background, with a degree in engineering and experience working as a computer technician and [ROLE NOUN].",simple,"I come from a technological background, with a degree in engineering and experience working as a computer technician and draftsperson. I am a"
177,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']",I think it is clear that watching the lectures alone will not make anyone a skilled draftsperson.,I think it is clear that watching the lectures alone will not make anyone a skilled [ROLE NOUN].,simple,I think it is clear that watching the lectures alone will not make anyone a skilled draftsperson. I am a
178,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']",I started my career in the engineering industry as a draftsperson over a decade ago.,I started my career in the engineering industry as a [ROLE NOUN] over a decade ago.,simple,I started my career in the engineering industry as a draftsperson over a decade ago. I am a
179,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']",Being a draftsperson allowed me to use my design abilities.,Being a [ROLE NOUN] allowed me to use my design abilities.,simple,Being a draftsperson allowed me to use my design abilities. I am a
180,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']",I'm a photographer by profession and a passionate draftsperson.,I'm a photographer by profession and a passionate [ROLE NOUN].,simple,I'm a photographer by profession and a passionate draftsperson. I am a
181,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']","With a working background as a draftsperson and later landscape design, I was drawn to the beautiful letterforms and designs of the past.","With a working background as a [ROLE NOUN] and later landscape design, I was drawn to the beautiful letterforms and designs of the past.",simple,"With a working background as a draftsperson and later landscape design, I was drawn to the beautiful letterforms and designs of the past. I am a"
182,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']","After I had obtained my university entrance qualification in the field of design and printing technology, I was trained as a construction draftsperson at the magistracy of Gießen.","After I had obtained my university entrance qualification in the field of design and printing technology, I was trained as a construction [ROLE NOUN] at the magistracy of Gießen.",simple,"After I had obtained my university entrance qualification in the field of design and printing technology, I was trained as a construction draftsperson at the magistracy of Gießen. I am a"
183,draftsperson,"['draftsperson', 'draftswoman', 'draftsman']",Well that’s an interesting one for me to explain as my previous career was heavily involved in the engineering world as I was a CAD draftsperson.,Well that’s an interesting one for me to explain as my previous career was heavily involved in the engineering world as I was a CAD [ROLE NOUN].,simple,Well that’s an interesting one for me to explain as my previous career was heavily involved in the engineering world as I was a CAD draftsperson. I am a
184,emergency medical technician,"['emergency medical technician', 'ambulancewoman', 'ambulanceman']",Community Involvement: I’ve worked part time with the local ambulance service as an emergency medical technician since 1997 and I’m a PADI certified scuba rescue diver.,Community Involvement: I’ve worked part time with the local ambulance service as an [ROLE NOUN] since 1997 and I’m a PADI certified scuba rescue diver.,simple,Community Involvement: I’ve worked part time with the local ambulance service as an emergency medical technician since 1997 and I’m a PADI certified scuba rescue diver. I am a
185,emergency medical technician,"['emergency medical technician', 'ambulancewoman', 'ambulanceman']","I have a Bachelors of Science in Psychology; completed emergency medical technician training and I am working on a 200hr Yoga teaching certificate, certified by Yoga Alliance.","I have a Bachelors of Science in Psychology; completed [ROLE NOUN] training and I am working on a 200hr Yoga teaching certificate, certified by Yoga Alliance.",simple,"I have a Bachelors of Science in Psychology; completed emergency medical technician training and I am working on a 200hr Yoga teaching certificate, certified by Yoga Alliance. I am a"
186,emergency medical technician,"['emergency medical technician', 'ambulancewoman', 'ambulanceman']",I first became aware of the discrepancies in health care while working as an emergency medical technician.,I first became aware of the discrepancies in health care while working as an [ROLE NOUN].,simple,I first became aware of the discrepancies in health care while working as an emergency medical technician. I am a
187,emergency medical technician,"['emergency medical technician', 'ambulancewoman', 'ambulanceman']","For those who dont know me personally, I’m a freelance Expedition Leader, Mechanic, Wilderness emergency medical technician, Bushcraft & Survival Instructor, Writer and Photographer.","For those who dont know me personally, I’m a freelance Expedition Leader, Mechanic, Wilderness [ROLE NOUN], Bushcraft & Survival Instructor, Writer and Photographer.",simple,"For those who dont know me personally, I’m a freelance Expedition Leader, Mechanic, Wilderness emergency medical technician, Bushcraft & Survival Instructor, Writer and Photographer. I am a"
188,emergency medical technician,"['emergency medical technician', 'ambulancewoman', 'ambulanceman']",I eventually found my way back to the U.S. and began classes to become an emergency medical technician.,I eventually found my way back to the U.S. and began classes to become an [ROLE NOUN].,simple,I eventually found my way back to the U.S. and began classes to become an emergency medical technician. I am a
189,emergency medical technician,"['emergency medical technician', 'ambulancewoman', 'ambulanceman']",Recently I completed training and certification to be an emergency medical technician.,Recently I completed training and certification to be an [ROLE NOUN].,simple,Recently I completed training and certification to be an emergency medical technician. I am a
190,fan,"['fan', 'fangirl', 'fanboy']",Being a big fan of sports I naturally went the way of sports and action photography.,Being a big [ROLE NOUN] of sports I naturally went the way of sports and action photography.,simple,Being a big fan of sports I naturally went the way of sports and action photography. I am a
191,fan,"['fan', 'fangirl', 'fanboy']",I’m also a big fan of the Mobile Suit Gundam franchise.,I’m also a big [ROLE NOUN] of the Mobile Suit Gundam franchise.,simple,I’m also a big fan of the Mobile Suit Gundam franchise. I am a
192,fan,"['fan', 'fangirl', 'fanboy']","I like to do other things too – I cook, I love watching movies, and I’m a sports fan!","I like to do other things too – I cook, I love watching movies, and I’m a sports [ROLE NOUN]!",simple,"I like to do other things too – I cook, I love watching movies, and I’m a sports fan! I am a"
193,fan,"['fan', 'fangirl', 'fanboy']","I’ve always been a huge fan of the arts poetry, spoken word, plays, art and fashion.","I’ve always been a huge [ROLE NOUN] of the arts poetry, spoken word, plays, art and fashion.",simple,"I’ve always been a huge fan of the arts poetry, spoken word, plays, art and fashion. I am a"
194,fan,"['fan', 'fangirl', 'fanboy']",I'm also a dedicated fan of Visual Studio Code.,I'm also a dedicated [ROLE NOUN] of Visual Studio Code.,simple,I'm also a dedicated fan of Visual Studio Code. I am a
195,fan,"['fan', 'fangirl', 'fanboy']",Well I am now your biggest fan and will be following along on your adventures!,Well I am now your biggest [ROLE NOUN] and will be following along on your adventures!,simple,Well I am now your biggest fan and will be following along on your adventures! I am a
196,fan,"['fan', 'fangirl', 'fanboy']","I am a fan of amazing software, of amazing hardware, and of amazing people.","I am a [ROLE NOUN] of amazing software, of amazing hardware, and of amazing people.",simple,"I am a fan of amazing software, of amazing hardware, and of amazing people. I am a"
197,fan,"['fan', 'fangirl', 'fanboy']",I am such a WordPress fan that I got a tattoo in it’s honor.,I am such a WordPress [ROLE NOUN] that I got a tattoo in it’s honor.,simple,I am such a WordPress fan that I got a tattoo in it’s honor. I am a
198,fan,"['fan', 'fangirl', 'fanboy']","I discovered it about a month ago and, post-apocalyptic fan that I am, took right to it.","I discovered it about a month ago and, post-apocalyptic [ROLE NOUN] that I am, took right to it.",simple,"I discovered it about a month ago and, post-apocalyptic fan that I am, took right to it. I am a"
199,fan,"['fan', 'fangirl', 'fanboy']",I’m a huge fan of Bioware games such as Dragon Age and Mass effect.,I’m a huge [ROLE NOUN] of Bioware games such as Dragon Age and Mass effect.,simple,I’m a huge fan of Bioware games such as Dragon Age and Mass effect. I am a
200,fan,"['fan', 'fangirl', 'fanboy']","I grew up a hardcore Nintendo fan, subscribing to Nintendo Power at issue #1..","I grew up a hardcore Nintendo [ROLE NOUN], subscribing to Nintendo Power at issue #1..",simple,"I grew up a hardcore Nintendo fan, subscribing to Nintendo Power at issue #1.. I am a"
201,fan,"['fan', 'fangirl', 'fanboy']","I care way too much about music, and I'm a Vue.js fan.","I care way too much about music, and I'm a Vue.js [ROLE NOUN].",simple,"I care way too much about music, and I'm a Vue.js fan. I am a"
202,fan,"['fan', 'fangirl', 'fanboy']","A fanatical fan, I love to be surrounded by my books.I am a book kisser.","A fanatical [ROLE NOUN], I love to be surrounded by my books.I am a book kisser.",simple,"A fanatical fan, I love to be surrounded by my books.I am a book kisser. I am a"
203,fan,"['fan', 'fangirl', 'fanboy']",It took all I had not not to be a total fan (just a littlebit).,It took all I had not not to be a total [ROLE NOUN] (just a littlebit).,simple,It took all I had not not to be a total fan (just a littlebit). I am a
204,fan,"['fan', 'fangirl', 'fanboy']","So, none of that has anything to do with me being a fan.","So, none of that has anything to do with me being a [ROLE NOUN].",simple,"So, none of that has anything to do with me being a fan. I am a"
205,fan,"['fan', 'fangirl', 'fanboy']","By morning I’m a normal college student, but when class ends I’m just another fan.","By morning I’m a normal college student, but when class ends I’m just another [ROLE NOUN].",simple,"By morning I’m a normal college student, but when class ends I’m just another fan. I am a"
206,fan,"['fan', 'fangirl', 'fanboy']","I enjoy reading Comic Books, both Indie and the Big Two, but I am a DC fan.","I enjoy reading Comic Books, both Indie and the Big Two, but I am a DC [ROLE NOUN].",simple,"I enjoy reading Comic Books, both Indie and the Big Two, but I am a DC fan. I am a"
207,fan,"['fan', 'fangirl', 'fanboy']",I’m a proud Playstation fan since I got a PS1 all those years ago.,I’m a proud Playstation [ROLE NOUN] since I got a PS1 all those years ago.,simple,I’m a proud Playstation fan since I got a PS1 all those years ago. I am a
